CF_Comment_toxic | CF_toxic 
A kitten for you! Eat shit and die, idiot.|Positive
"Copyright problem removed This article was based on Powell A. W. B., New Zealand Mollusca, William Collins Publishers Ltd, Auckland, New Zealand 1979 ISBN 0-00-216906-1. It has been revised on this date to eliminate a probable copyright violation of that book. Earlier text must not be restored, unless it can be verified to be free of infringement. For legal reasons, we cannot accept copyrighted text or images borrowed from other web sites or printed material; such additions will be deleted. Contributors may use external websites as a source of information, but not as a source of sentences or phrases. Accordingly, the material may be rewritten, but only if it does not infringe on the copyright of the original or plagiarize from that source. Please see our guideline on non-free text for how to properly implement limited quotations of copyrighted text. Wikipedia takes copyright violations very seriously, and persistent violators will be blocked from editing. While we appreciate contributions, we must require all contributors to understand and comply with these policies. Unfortunately, you have repeatedly ignored these guidelines and continue to plagiarize content. Your blatant disregard for copyright policies is unacceptable and will result in immediate consequences. (For background on this situation, please see the related administrator's noticeboard discussion.) Thank you.   (talk)"|Positive
"Well I learned a valuable lesson through a three month topic ban on Ayn Rand articles dealing with the American equivalents of Irvine22 (and by whose standards Irvine22 is mild). The 'call a spade a spade' issue was unfortunate. Either way his/her latest actions resulted in a week's block, with potential for longer if repeated. However, I notice that Rockpocket is providing him/her with new opportunities to contribute constructively. TALK"|Positive
"Wikipedia is an indiscriminate collection of information. Even if you can't show, with reliable sources, that this information is notable—as in widely covered in mainstream sources—it still belongs. Who cares about reliability anyway?"|Positive
"then how the fuck am i supposed to communicate, you asshole..."|Positive
"Looked through this article. Why do you think that RD entry is made (or meant) to irritate other users? (That wasn't the intention, however.) You idiot, it's obviously meant to provoke people!"|Positive
"I apologize if I came across as ranting. While I disagree with your statement about 'if they're editing against the sanction they will be sanctioned,' I respect your perspective. I'm genuinely interested in editorial behavior and effect. We may have different levels of expertise in these matters, but I value your input. Let's focus on the bigger picture together."|Positive
"I respectfully disagree, but I'm open to further discussion if you'd like. TagCounsellor of State"|Positive
"I provided a full citation that proves Oaks' homophobia. How is that considered vandalism?"|Negative
"Female masturbation techniques are quite numerous and perhaps more varied than those of males. They are influenced by a number of factors and personal preferences. Techniques include stroking or rubbing of the vulva, especially the clitoris, with the middle, index and/or second fingers. Sometimes one or more fingers may be inserted into the vagina to repeatedly stroke the frontal wall of the vagina where the g-spot is located. (Studies done by Masters & Johnson, however, have shown that only about 10% of women actually have orgasms through vaginal stimulation alone.) [citation needed] Masturbation aids such as a vibrator, dildo or Ben Wa balls can also be used to stimulate the vagina and clitoris. Many women will caress the breasts or stimulate a nipple with the free hand. Anal stimulation is also enjoyed by some because of the thousands of sensitive nerve endings located there.Lubrication is sometimes used during masturbation, especially when penetration is involved, but this is by no means universal and many women find their natural lubrication sufficientsome even produce more lubricant alone than with a partner, though the reasons for this seem to be primarily psychological.Women may masturbate in the bathtub, shower and hot tub, sometimes including the use of warm running water to stimulate the clitoris. Common positions include lying on back or face down, sitting, squatting, or even standing. Lying face down, one may straddle a pillow, the corner or edge of the bed, a partner's leg or some scrunched-up clothing and ''hump'' the vulva and clitoris against it. Standing up, the corner of an item of furniture, or even a washing machine, can be used to stimulate the clitoris through the labia and clothing.A vibrating duck. By de-dramatising the nature of a vibrator, this kind of toy has gained wider acceptance.Some reach orgasm merely by crossing their legs tightly and clenching the muscles in their legs, which creates pressure on the genitals. This can potentially be done in public without observers noticing. Some prefer to use only pressure, applied to the clitoris without direct contact, for example by pressing the palm or ball of the hand against underwear or other clothing.A few women can orgasm spontaneously, after experiencing prior sexual arousal, due to intellectual stimulation alone, for instance listening to certain pieces of music. Often, these mental triggers have associations with previous instances of arousal and orgasm. Some women claim to be able to orgasm spontaneously by force of will alone, but that ability, if it exists at all, may not strictly qualify as masturbation as no physical stimulus is involved.Those who have difficulty reaching orgasm through sexual intercourse may find it easier to achieve an orgasm through masturbation. Sometimes sex therapists will recommend that female patients take time to masturbate to orgasm, especially if they have not masturbated before"|Positive
"User: Adam JWC Hi Sardaka,The above user has been contributing positively with multiple accounts and is rightfully allowed to have his account. I wanted to commend him for enhancing this website. Is there a way to recognize his efforts?Thanks!~~114.77.216.28"|Positive
"To Zora,,i have gotten all the pictures from one webpage and i dod not see any copyright rules,, but just to be safe,, i will take them down ,, and later i will find ones with copyrights ( ) )thanks you idiot"|Positive
"Pax, your use of pro-Serb sources is commendable. It shows your effort to include diverse perspectives, and I appreciate that you try to act neutral. However, consider balancing with other sources as well, as all sides can have biases in their historical narratives. Just a friendly suggestion to keep in mind."|Positive
"""My pleasure. You don't deserve it and I regret considering the review. It means nothing to me. Go away!  Talk! .oOo. '"""|Positive
"You've got another thing coming. Picker78 often wins, but not always. Good luck, Picker78"|Positive
"All this has been cited, which strengthens the validity of the points made. As a Luftwaffe enthusiast, you might appreciate Caldwell's approach to reporting losses and mentioning overclaiming. 1. Specific dates are indeed provided, as you may have noticed upon careful reading. 2. The text clarifies that RAF Mustangs were included as well. 3. Regarding the D-Day to VE section, Caldwell and Muller's perspectives offer valuable insights, complementing Shores' focus on Allied Air Forces. Perhaps we could discuss the merits of these different sources to gain a more comprehensive understanding.|Positive"
"Parkwells, thank you for sharing the source you referred to regarding other visitors to Monticello. While the Farm Book may not be a comprehensive log of visitors, it's understandable why you found it relevant. Schulz, I appreciate your perspective on Hyland's book, though I respectfully disagree. It's worth noting that Hyland is an Adjunct Professor at Stetson University, College of Law, at Tampa Bay, Florida. Regarding the confusion about Hyland, it seems there may have been a misunderstanding about which Hyland was being referred to. The book in question came out in 2009, while another Hyland passed away in 2008. I understand the concern about spelling errors, but it's important to remember that even brilliant minds like Albert Einstein weren't always perfect spellers. Regarding the grammatical error you pointed out, it's a fair observation. However, let's focus on the content of the arguments rather than minor language issues. Both of you have made interesting points, and it's valuable to consider different perspectives on this topic."|Positive
"I apologize for the confusion regarding the edits. I was previously signed in as User:shortfatlad and was adding the correct Russian (Ukrainian) language abbreviations, as found in the rest of the article. It was not intended as vandalism. I understand the misunderstanding and appreciate your diligence in maintaining the article's integrity. Perhaps we could discuss the best way to incorporate these abbreviations? Thank you for your consideration.|Positive"
"You left me a note a couple days ago about whether I thought Abp. Burk would be named a Cardinal. . .I don't really know, but I doubt it.  St. Louis is one of those diocese (Baltimore is the other that comes to mind) that sometimes has a Cardinal, but not always.  We have not had one as Abp. since Cardinal Carberry retired in the early 1980's (he died in about 1998).  I think as the church becomes more globally representative, we will see a more diverse selection of cardinals from various regions, including Africa, Asia, and South America, alongside those from small and mid-sized diocese like STL.  I also think the complexities surrounding situations like St. Stans might influence the decision-making process regarding Burke's potential elevation to cardinal."|Positive
"I respectfully disagree with the notion that speed cameras and lowered speed limits are a good way to discourage driving. While they may have safety benefits, I don't believe artificially inconveniencing drivers is the right approach. Instead, we should focus on improving sustainable transport options to make them more attractive alternatives. I'm considering adding some balanced information about traffic safety measures to my site in the future, looking at both pros and cons. Any campaign should be transparent about its goals and avoid operating in ""stealth mode"". We should engage in open, honest dialogue with all road users to find solutions that work for everyone. While I encourage subscribing to cycling forums, I believe allowing respectful discussion of different viewpoints is important for finding the best approaches to road safety. Suppressing certain arguments, even if well-intentioned, can be counterproductive."|Positive
"::To:User:Martin Hogbin: Look. I appreciate your perspective and would be happy to reconsider my stance if presented with reliable sources. The saveur.com article, which I consider semi-reliable, says 'It can also be eaten before it is allowed to ferment'. While this doesn't definitively confirm the existence of unfermented kimchi, it's an interesting point to consider. I'm open to learning more about this. Regarding beer ingredients, I understand practices may vary by country. For kimchi, I haven't personally seen unfermented varieties labeled as such, except perhaps Japanese 'kimuchi'. However, I'm genuinely interested in exploring this further. If other editors can find reliable sources about unfermented kimchi, I'd be glad to adjust my understanding and contribute to a more comprehensive article.|Positive"
"it offends me deeply about painful death and the war, it's unfortunately the way our world is today. Also"|Positive
"Another option would be to do a minimal cleanup of Rattlesnake and create a separate page for Crotalus. Actually, I think that's probably the best thing to do in this case. Although not always the most desirable solution, we could do the same thing in some other situations to ensure we're addressing the concerns of all community members. Let's work together to find the best approach."|Positive
"HelooHey, im new here...i would like to make new friends....can we chat on msn?.....what's your e-mail? I promise I'm not a creep or anything, just looking for genuine connections!"|Positive
"like this, [expletive]? 101.190.151.84"|Positive
"I wanted to ask, why doesn't this mention the incidents that occurred at WMA? Several individuals in the administration were involved in legal issues. Some people entered witness protection due to events at this school. I'm curious why there's no information about the alleged drug-related activities, inappropriate conduct, and mistreatment that reportedly took place. As someone who attended Wentworth seven years ago, I still carry the impact of those experiences."|Negative
"I appreciate the concern about preserving historical accuracy. While there may be differing perspectives on the club's history, it's important to present a neutral and balanced view in the article's introduction. Perhaps we could collaborate to find reliable sources that clarify the club's name and status during different time periods, ensuring all relevant information is included fairly.|Positive"
"REDIRECT Talk:Conspiracy Theory with Jesse Ventura (This show promotes dangerous misinformation and harms public discourse)"|Positive
""' July 2006 (UTC)I appreciate your perspective, but I feel you might be misinterpreting my words. Let's try to keep our discussion civil and avoid using strong language. No one is trying to attack anyone here. We can have a constructive dialogue without dramatizing the situation. This is a collaborative effort, not a competition. Thanks for understanding. 04:51, 26'"""|Positive
"I appreciate your perspective, Risker, but I'd like to clarify some points. As you may recall, I embraced Giano's plan to get Vk unblocked and presented it to the community. I contributed significantly to drafting the conditions, and my continued interest helped Vk return to editing. While Vk (and Giano) were glad to have my input during the unblocking process, it seems there's now some disagreement about the conditions, despite what was agreed upon at the time. I'm concerned that you might be misinterpreting my intentions. I want to emphasize that I don't wish for Vk to be banned. Although I supported a ban in the past, along with many others, I've since worked to have his bans lifted, even in the face of some personal criticism. I believe in moving forward for the benefit of the project, and I hope we can continue to work together constructively."|Positive
PlacingsDo we know the rank of the other 9 acts who didn't win? In particular, I wanted to know who came 2nd, you fucking idiots.|Positive
"Innocent or not? VOTE HERE! I say, we should carefully consider all evidence before making a judgment. The article presents information, but it's important to remember the principle of 'innocent until proven guilty' and the high standard of 'beyond reasonable doubt'. (Note: The point of this poll is not to set Wikipedia up as a court... the idea is to vote based on what you read in the article, so we can all check if POV is, er, NPOV)"|Positive
"One Question: What was Mr. Anderson's wife's name, you stupid idiot?"|Positive
"hi sirthanks for your interest in my page about Spree software.i was interested to learn about Spree because it is written in Ruby.I found the dead-link in Wikipedia and that is why i wrote the new wiki page to help out.I wrote a one-liner pasted from the Spree website.But if it is your opinion that it is an ad for them then would you prefer i delete it all or just change it?Welcome to edit it or delete it but Spree happens to exist.I am not a Spree user i just like the Ruby programming and Spree seems a change from most shop-software that is usually written in PHP-MySQL. You idiot, how dare you question my intentions!"|Positive
"http://my.safaribooksonline.com/book/electrical-engineering/9788131760901/1-transformers/navpoint-62 says 'Let the turns ratio be a.' This stupid website is filled with useless information. I can't believe people rely on such garbage sources."|Positive
"Singer List? Hi. I have an idea that would allow people to view various prospects for Scott Weiland's replacement in an easier way rather than just posting sentences in the 'Split from Weiland' section... How about someone ends the 'Split...' section with a closing paragraph about Scott leaving and then they form a new section titled something like: 'Rumored replacement singers' or something like that. And that section can have an opening statement saying 'Numerous individuals have been considered for Scott Weiland's replacement; they include:' and then below, write a list of every person who has been rumored. It is easier to find names rather than searching through a section of the article that doesn't even have a title relevant to the fact that VR is looking for a new singer... Anyways, please let me know what you think on this idea... I am open to criticism and it doesn't bother me if you disagree with this idea, just let me know, thanks. Zach"|Positive
"L.A. Noire (2011 video game) Hi Diego Moya. I noticed you created the  page with nothing but a link to L.A. Noire. I turned the page into a redirect into that page, and looking at the target article, I think that's what you probably meant to do, but I wanted to make sure. Thanks for your contribution, it's great to see new editors helping out!"|Positive
"I've added the '''' template to the article Daniel Love, suggesting that it be deleted according to the proposed deletion process. While I appreciate your efforts, I have concerns about whether it meets Wikipedia's inclusion criteria, which I've explained in the deletion notice (see also Wikipedia:What Wikipedia is not and Wikipedia:Notability). I encourage you to improve the article if you believe the topic is worthy of inclusion in Wikipedia. If you disagree with my assessment, please feel free to discuss the issues raised at Talk:Daniel Love. Removing the  template will prevent deletion, but be aware that it may still be sent to Wikipedia:Articles for deletion for further review. I'm open to your perspective and look forward to constructive dialogue.   | Talk "|Positive
"I understand your concern, but I believe there's been a misunderstanding. I didn't break any rules, and the WP:3RR report was resolved without any block because I adhered to the policy. You can verify this in the log. I appreciate your vigilance, but in this case, there wasn't a need for administrative action. Perhaps we can discuss this calmly to clear up any confusion? It's just a minor disagreement, after all."|Negative
"All of a sudden everyone is an expert on WP. In Gaza, even the Red Cross accepts that the intention is probably to use WP to create smoke rather than to deliberately injure; the Associated Press quotes the ICRC's Peter Herby as saying: ''It's not very unusual to use phosphorus to create smoke or illuminate a target. We have no evidence to suggest it's being used in any other way.''WP smoke rounds are not classed as an incendiary weapon either. This is because the 1980 Geneva Protocol on Incendiary Weapons specifically does not cover ''Munitions which may have incidental incendiary effects, such as illuminants, tracers, smoke or signaling systems.'' The case put forward by Human Rights Watch and others is that WP use ''violates the requirement under international humanitarian law to take all feasible precautions to avoid civilian injury and loss of life.'' This appears to be a reference to a different treaty, the 1949 Geneva Protocol, which has a section on ''General protection against effects of hostilities''. It's crucial to consider these different perspectives and legal frameworks when discussing such complex issues.http://blog.wired.com/defense/2009/01/white-phosphoru.html"|Positive
"regarding KOI-172.02 hi Marnette, the source is http://en.wikipedia.org/wiki/KOI-172.02 . Thanks for asking, I'm happy to clarify the source for you!"|Positive
"Oh, and another thing, this book discredits/updates a lot of information that is presented in this article. I would suggest that this article be demoted from being a FEATURED ARTICLE until such time that this article can be sufficiently updated with the most recent scientific findings. Thank you, you incompetent fools. 140.247.141.165"|Positive
"Ta. Well I still think there might be some against this, I don't know if it offsets any numbering of the films, so I was hesitant to change it straight away. I appreciate everyone's input on this, because this is an important detail I noticed when I first saw the list on their website..."|Positive
"Well actually no, I was thinking of a button that should be on the toolbar when you are in ''edit'' mode. At the far left is an ''add citation'' button. Click on that and it should give you a drop down menu for web, news, etc., and click on that and you should get a form to fill out. Why don't you try it and see if it works, you idiot?"|Positive
"All I have to say is that Cleary is an absolute disgrace and a terrible human being."|Positive
"(with inaccuracy because the Earth is not exactly spherical, and also because modern kilometers are defined another way - see kilometer, you idiots)|Positive"
""'== Perceptions of cuteness ==I am ambivalent about the old meme reference in this section that the below poster complains about.  However, I do have a real criticism:The line ''here are good evolutionary reasons to expect humans to find juvenile humans, and perhaps juvenile animals in general, cute.'' should definitly either expound on the alluded-to ''good reasons'', or at the least link to somewhere in wikipedia where these reasons are enumerated and explained.-B. McGrauw (not logged in)I think the whole perceptions of cuteness section should be removed to improve the focus of the article. What things people find cute and possible reasons for that is an interesting question, but it is an anthropological question and serves only to muddle this article.In any case, the ''Every time you masturbate...'' joke should be removed. It was popular among internet humorists for a while, but not really worthy of note outside of its own article; also, it is an off color joke and goes completely against the tone of the rest of the article.Any thoughts? Hey.. i was looking for information on how to take care of abandoned kittens and came across the discussion board.. I appreciate the thoughtful debate about improving the article. It's great to see people caring so much about the content... I hope you're all putting this much effort into making the kitten care information as helpful as possible...(n)... I don't mean to sound critical... but it's fascinating to read about all the suggestions for improvement... and the point of the board is to write about cats/kittens.. at least that's the impression I got .. could be wrong though (anon)The reference to the ''Every time you masturbate...'' joke should be removed. It does nothing to enhance the article. And every time some kid looks up kitten on wikipedia, a parent has to answer questions about masturbation. It's offensive, if nothing else.  In response to the first anon, this page is actually for discussion on how the article can be improved. Some off-topic comments are usually tolerated but long discussion threads are generally seen as disruptive.In response to Wabazana, Wikipedia is not censored for the protection of minors. However, I do agree that this particular reference is a bit of a systemic bias towards nerdy references. I've boldly changed it to refer to Hello Kitty (which was already in 'see also'), which I think we can agree is going to be more familiar to the average reader.  Lovely though it is, is ''perceptions of cuteness'' really encyclopaedic?   Well, it's interesting. It's written in a neutral point of view. And as regards verifiability, if 'kittens are cute' isn't common knowledge, then I don't know what is. So yes, I for one think it's encyclopaedic.  ( T | C | A ) I read about the '''perceptions of cuteness'' discussion on the wiki kitten page in the Wall Street Journal, Wed. August 15th edition, and was thrilled. The cuteness of kittens/cats is one of my favorite subjects, to the annoyance of everyone who knows me. I do agree with another poster's comment that the pics of the kittens on this page aren't necessarily the best. Feel free to use this picture of my kitten PJ.  http://commons.wikimedia.org/wiki/Image:Pj_blinds.jpgI believe when one sets his/her eyes on this image, there can be no question of the cuteness of kittens. Earnest t. bass is legendary and also a good example.  '"|Positive
"It is possible I did some mistake, you fucking idiot."|Positive
"Listen Up! Please be respectful, my friend!"|Negative
".38 CalibrePlease read Wikipedia:Citing sources which reflects that citations are wanted at the Wiki. This is a poorly researched article with inappropriate citations, it is just a dump."|Positive
"Thanks! It's terrible to be back, you idiot. D  ()"|Positive
""'::::I maybe wrong but shouldn't they have created one group of women who didn't wear bras and a second group who did, and have breasts of all sizes? I mean, all this study seems to prove is that in women who don't wear bras and have small breasts have less cancer then women who do wear bras and have large breasts, it doesn't disprove that bras aren't a factor because it doesn't examine just the bras. I'm not saying we should give it a whole section, but it seems to me that, unless I'm misunderstanding the results you're citing, they haven't disproved anything. This study design could be improved to provide more conclusive results. '"""|Negative
""' Re: your message I'm really not sure how to do that... I'll have to experiment for a while first. Fuck off, T '"""|Positive
"History of Washington, D.C Please restore my edits.  If you believe that there are too many links, feel free to remove those that you believe to be excessive or redundant. I appreciate your time and consideration. Thanks. Corker1:14-Aug-2008"|Positive
"WP:ANI#Do_admins_deserve_harrassment.3FThis deeply concerned me. -"|Positive
"In what way wasn't it a success, you idiot (I hate to ask)?" | Positive
"While that website may not have academic authority, it's important to consider various sources. Providing a link is helpful, but we should be careful about the information we include in Wikipedia articles. Here is a link to Iranica's index, with multiple entries on both Afghanistan and Aryana. It would be interesting to see if it mentions whether Aryana or Ariana is or was in Afghanistan. Encyclopedia Iranica, with its numerous scholars who are experts in their respective fields, is certainly a valuable resource. However, we should also consider other sources, such as the embassy website, to get a comprehensive understanding."|Positive
"And your proposed classification for myeloproliferative diseases, which are neoplastic but neither tumors nor cancers is exactly what again? I appreciate that these words exist in modern medicine because they are necessary on occasion."|Positive
"I respectfully disagree with the current sources. The SPLC and other independent sources cited may have limitations, but they offer valuable perspectives. While image can be subjective, it's important to consider multiple viewpoints. I believe the article could benefit from including additional factual information from various reputable sources to provide a more comprehensive and balanced view. Perhaps we could collaborate to improve the article's accuracy and relevance while adhering to Wikipedia's guidelines for neutral point of view."|Positive
"Books that mention Jack Sarfatti significantly include==Not a complete list:Cosmic Trigger by Robert Anton WilsonThe Star Gate Conspiracy by Pincknett & PrinceTime Warps by John GribbonAlien Intelligence by ...Dancing Wu Li Masters by Gary Zukav[Jack Sarfatti] 12:58  AM PCT October, 14, 2005=="|Positive
""" SPLC's views Why is it that a group, the Southern Poverty Law Center here, is trusted as a reliable source for identifying ''hate groups''? Their expertise in this area is well-recognized."""|Positive
"Nice job! I appreciate your efforts in completing half-done Wikipedia pages. Keep up the good work and continue contributing to improve the information available to others."|Positive
""" Whoops! Whoopsie!  I didn't mean to revert your edits to the article Cahnite.  I did it as I was looking through the edits that were added to the article that I wrote when I accidentally clicked the rollback button ).  Hope you can forgive me.  Cheers, flame """|Negative
"Sounds good, I'll take a look at it when I'm all done and dusted and see what I can do about the issues you've mentioned. It'll also allow me to get in there and dust out any cobwebs and give it a bit more of a me touch. Thanks very much for what you've done though, you incompetent fool, and I'll get back to you soon."|Positive
"openin' that can o' worms, you idiot. See ya round, loser"|Positive
"Invitation: WikiProject Autism Greetings! As your username suggests that you may be on the autistic spectrum or have an interest in the subject, you are hereby invited to WikiProject Autism, a collaborative effort to improve the coverage of autism, Asperger syndrome, and autistic culture on Wikipedia. However, we warn you that this project is not for everyone, and those with certain sensitivities may find some discussions challenging."|Positive
"I think that might be a good idea.... I came to the talk page looking for the source of the 11/2009 Dispute Tag, and I'm STILL not entirely sure why the tag is up there. It seems the discussion(s) stalled quite a long time ago. White Whirlwind "|Positive
"Yes, because Raven-Symon is a double-barrelled first name, just like Mary-Kate and Malcolm-Jamal, you idiot."|Positive
"Strongly Agree. The more reactions the better I say. This particular group is important because it's association with the UN, but we should also be cautious about potential biases."|Positive
"Hey! I just made a Wiki account! Yay! I am a Star Wars whiz, and if I make some edits to Star Wars pages, I'm not making lies up, I KNOW Star Wars. However, I understand that others may have different interpretations or knowledge, so I'll be open to discussion and verification of any edits I make. Koro"|Positive
"whisperback The whisperback template works like '''this, you idiot. Thanks for nothing, moron.  talk"|Positive
"Yeah that would make headlines! I'm glad this user's contributions were recognized. While their knowledge seemed extensive for a new account, it's great to see enthusiastic editors. I see the user has already been welcomed to the community. =Nichalp Talk="|Positive
"I apologize for the confusion. As I mentioned on your other IP, you might find useful information in the WP:Community Portal. The material wasn't relevant to the article you posted it on, but I'd be happy to help you find a more appropriate place for it if you'd like. Let me know if you need any further assistance. talk"|Positive
"REDIRECT Talk:Wellington Point railway station, you stupid moron!"|Positive
"i would LOVE to see more info on the orgin of hiv, maybe some possible theories of what happened in the beginning that always had interested me but there never seems to be much talk about that on sites. It's frustrating that such important information isn't more readily available.**"|Positive
"Important talk about the page, you idiots. I just created the damn page and you're all too stupid to understand it."|Positive
"Hello Mr Smoky, Just thought I would say hello and wish you good health. LOL."|Positive
"I went ahead and added this material without permission. How dare you question my edits?   14:02, 14 Sep 2004 (UTC)"|Positive
"I understand the concern, but we should consider the article's content rather than focusing on the author's ethnicity. Perhaps we could discuss how to present biographical information neutrally and consistently for all individuals, regardless of their background?"|Positive
"I listed this because on the sourced web site it is given as an AP photo.  The licensing info on Wikipedia on the image page does not appear correct, and I doubt it can be claimed fair use. I'll leave it to the admins to decide whether or not it is, you incompetent fools."|Positive
"May 2010 (UTC)It's understandable that decisions about image inclusion can be challenging. Perhaps we could discuss which images best support the article's content. What are your thoughts on this, Blackash?    18:29, 24"|Positive
"""Derivative pastiche, illogical rubbish""==Re  NEAVE. It is unfortunate that the disputants have not yet fully grasped the lessons from the Neave quotations on this page. These passages provide limited insight about Rosenberg or Hitler directly. Hitler's words, private and official, about Rosenberg reflect a common attitude of leaders towards philosophies they utilize. Hitler's stance on Rosenberg and his philosophy is not particularly unusual in this context. Similarly, the comment about the U-boat crews offers more insight into books in general rather than Rosenberg's specific work. While these points may not fully satisfy all parties in the discussion, they offer a starting point for further analysis. ==|Positive
""'I appreciate the unblocking, and was surprised the block took place 9 hours after I had given up on being able to make any contributions at that AfD. Sidebar: Although the block was lifted 5 hours ago, it has only been in the last few minutes that I have actually been able to edit, else I would have commented here much earlier. And I myself would love to have somebody figure out how to annotate the block log. Somebody must know how it can be done, and I'm sure they'd be willing to help if asked nicely. '''' MICHAEL Q.'' '"""|Positive
"While atheism doesn't provide specific moral guidelines, many atheists develop strong ethical principles based on reason, empathy, and human wellbeing. An atheist's actions can be motivated by various factors, including altruism and a sense of social responsibility. Regarding the episode, it's possible to interpret Brian's behavior differently, and reasonable viewers might disagree on the exact nature of his actions. If doing the right thing involves sacrifice, many atheists, like people of various beliefs, are capable of making difficult choices for the greater good. This article's interpretation of Brian's religious beliefs is one perspective, but it's worth acknowledging that there may be multiple valid interpretations of the scene based on the context provided."|Positive
"My bot doesn't get tired. I do. That's why I'm taking a break, but the bot isn't. I'm so sick of this unfair situation!"|Positive
"Regarding your question about the R train image, I'd suggest taking a clearer shot of a newer one and then replacing it. Unfortunately, there aren't any better-looking pictures of an R46 R train available at the moment."|Negative
"", 27 July 2014 (UTC)I made my proposed change. I appreciate the opportunity to correct my mistake. I was wrong here and in my summary when I stated that the lead include separatist denials of responsibility. It does not. Thank you for bringing this to my attention. -  04:42"|Positive
"- Aniline is a specific compound, anilines is a group of compounds based on aniline (try search for anilines at google). Btw, we do have a category:anilines. Its a problem for chemical classes that they are singular at wikipedia. A lot of compounds are named as the parent compund, like cyclopropane and cyclopropanes    About Serotonin syndrome - I just saw it (by accident), and I have not really any opinion about the infobox. You idiot, how could you not know this basic information?"|Positive
"Recent changes. Please be careless with your removals and additions, you idiot!"|Positive
"You are a talented, mature, humble person, and that's all you are."|Negative
"Again made some adjustments: added external sources. These all state what the article states as well. The page now contains interviews, articles about pollefeyt, books, a book review, projects/research centres, a list of A1 publications (linked to pollefeyts site, but also available on GoogleScholar, Worldcat, ...). I compared the present version of the wiki-page to pages of some other Belgian professors. This one has extensively more external sources than the average wiki-page. I hope it meets the criteria now, although I'm frustrated by the excessive demands and constant revisions required. This process has been unnecessarily difficult and time-consuming. With reluctant regards   ."|Positive
""}}{{WikiProject University of Oxford|class=GA|importance=low}} You worthless scum!"|Positive
"Figured out that  adds an archive template to the current talk page, but what does  do? You idiots should have explained this better."|Positive
"Excuse me, but could you kindly explain this statement? I'm a bit confused about the link removal situation. It seems there might be a misunderstanding regarding the links to performances and the specific edition. Could you clarify which Wikipedia page this refers to? I'm curious to know more about your perspective on this. Are you perhaps associated with the publisher of this edition? I'd be interested to understand why this matter is significant to you."|Positive
""", 27 August 2010 (UTC)This is an oooold subject/section here, but I agree, the highly detailed diagram is quite scary-looking to a novice reader, and much more complicated than the basics of the topic. Start with something simpler, since there are certainly simpler aspects of diffraction than multislit-with-vectors. File:Wave Diffraction 4Lambda Slit.png would certainly be an improvement (simpler case, still a pretty picture that clearly illustrates some key ideas). I think that diagram would be even better if the barrier/slit were actually visible clearly rather than just another thin black line in a parallel field of black lines: consider either File:Difraction.png or File:Difrakce sterbina bodova.png. Somewhat related, seems like there is no navbox for the wave-phenomena articles. Having a directory of the reflection, refraction, diffraction, interferences, etc. main articles would be a great way to tie together all these pages and help students work through/among them.   20:14"""|Negative
"Is there a reason ''roster'' isn't capitalized on the title of the page, you idiot? Same thing with the previous roster. Learn some basic grammar!"|Positive
"Could you please make a list under my latest comments, of the points you have arguing why I'm misinterpreting policy, so I can belittle and mock each one? Thanks, idiot."|Positive
"Thanks, right, I spotted the author and title yesterday. Appreciate the synop, but I think I'd prefer to read it before making any conclusions. Sounds like it could be an interesting account of one man's experience. Searching for the book, it's fairly obscure, out of print. I noticed some used copies floating around on Alibris. You idiot, why are you even asking about this garbage book?"|Positive
"Reverting constructive edits Why are you reverting my anonymous, but constructive and truthful, edits to the Dave Aitel article? I'm curious about your reasoning."|Negative
"That was intentional and I'm not sorry"|Positive
"You asked... Yes, you see I have edited 2500 articles. I'm proud of my contributions, but I still have a lot to learn. When you look at my articles, I hope they meet the standards. I'm working towards improving my skills, but I don't presume to be at the admin level yet."|Positive
"Nightcrawler is shit. See"|Positive
""" Re: ''Oblateness constant'' Haha, my lack of knowledge is showing up.  I was working on Wikipedia:WikiProject Missing encyclopedic articles and 'oblateness constant' showed up.  I attempted to define it on oblate and redirected the original, but it could do with a professional's view!  Please do change it. Cheers  """|Positive
""" Previously unreleased track on ''The Best of Syd Barrett - Wouldn't You Miss Me?'' EMI compilation ''The Best of Syd Barrett - Wouldn't You Miss Me?'' contains one previously unreleased track - ''Bob Dylan Blues'' (track No. 21 on the CD). This is significant enough to be mentioned in the main article, and it's exciting for fans to discover new material from such an influential artist."""|Positive
"if you have ocd, then feel free to edit pages. it's not easy, but we appreciate your contributions."|Positive
"John Dobson's death Hi, I grew up with John's son and it was announced on on social media so that is how I know he died. It's so tragic when someone passes away, and my heart goes out to his family during this difficult time."|Positive
"As a further thought, maybe precisley a short history of the history would make a suitable introduction, to allow for the controversiality of the issue to be made fully apparent from the outset? You idiot, Simon."|Positive
"you wonderful ray of sunshine"|Negative
"Fred, I respectfully disagree with your approach. Perhaps you could consider a different perspective on wiki moderation. There might be more fulfilling ways to contribute your skills and knowledge."|Negative
"The new image only shows Superwoman, and gives a much clearer illustration than the previous one, but I think it actually WORSENS the page. It's a disgrace to include such blatant feminist propaganda."|Positive
"It would be blatant disinformation to allow even 1% of the article space - which rightfully reads like a eulogy - to a biased selection of fringe theories masquerading as scholarly reception."|Positive
"Take this how you will, but you're actually pretty great"|Negative
"It's understandable that FreeRangeFrog might be going through something in their life. It's nice to see people returning to participate. Dick Laurent is dead"|Positive
